격분한,"['anger', '0.964']" 
노인,"['fear', '0.547']"
위태롭게 하다,"['fear', '0.547']"
가산기,"['fear', '0.547']"
반란,"['fear', '0.545']"
묘지,"['fear', '0.541']"
나쁜 상태,"['fear', '0.539']"
환상,"['fear', '0.538']"
도망친,"['fear', '0.534']"
버려진,"['fear', '0.531']"
배제,"['fear', '0.533']"
가망 없음,"['fear', '0.531']"
광란의,"['fear', '0.531']"
묻힌,"['fear', '0.531']"
에크,"['fear', '0.531']"
진압,"['fear', '0.531']"
승강이,"['fear', '0.531']"
줄기,"['fear', '0.531']"
어찌할 수 없는,"['fear', '0.531']"
압박받는,"['fear', '0.531']"
표명,"['fear', '0.531']"
버리다,"['fear', '0.531']"
노예,"['fear', '0.531']"
프리크 아웃,"['fear', '0.531']"
거머리,"['fear', '0.531']"
시장 조작,"['fear', '0.531']"
무력,"['fear', '0.531']"
부서진,"['fear', '0.531']"
죽상 경화증,"['fear', '0.531']"
무법,"['fear', '0.531']"
만자,"['fear', '0.531']"
체포 자,"['fear', '0.531']"
침투,"['fear', '0.531']"
선구자,"['fear', '0.531']"
부조화,"['fear', '0.531']"
불신,"['fear', '0.500']"
심장 내막염,"['fear', '0.531']"
육식성의,"['fear', '0.531']"
벌하다,"['fear', '0.531']"
체념이없는,"['fear', '0.531']"
미신적 인,"['fear', '0.531']"
폭풍우 같은,"['fear', '0.531']"
흔들리는,"['fear', '0.344']"
불안정한,"['fear', '0.172']"
미결,"['fear', '0.529']"
피,"['fear', '0.525']"
숨김,"['fear', '0.524']"
곰,"['fear', '0.524']"
불법의,"['fear', '0.453']"
숭배,"['fear', '0.518']"
불안한,"['fear', '0.204']"
추방,"['fear', '0.517']"
포로,"['fear', '0.517']"
마법,"['fear', '0.516']"
괴롭게 하는,"['fear', '0.516']"
쫓기는,"['fear', '0.516']"
억류자,"['fear', '0.516']"
바람,"['fear', '0.516']"
견딜 수 없기,"['fear', '0.516']"
찌르기,"['fear', '0.438']"
상상도 할 수없는,"['fear', '0.516']"
강타,"['fear', '0.516']"
용의자,"['fear', '0.516']"
억지로 시키다,"['fear', '0.516']"
색전증,"['fear', '0.516']"
무력감,"['fear', '0.516']"
거친 것,"['fear', '0.516']"
억압하다,"['fear', '0.484']"
망명,"['fear', '0.516']"
예언,"['fear', '0.516']"
재발,"['fear', '0.516']"
생검,"['fear', '0.516']"
쇠약해진,"['fear', '0.516']"
선동하다,"['fear', '0.516']"
귀찮은,"['fear', '0.516']"
체포 된,"['fear', '0.516']"
어둠,"['fear', '0.516']"
교활한,"['fear', '0.156']"
상태,"['fear', '0.438']"
격화,"['fear', '0.516']"
격변,"['fear', '0.516']"
공모자,"['fear', '0.516']"
우울증,"['fear', '0.508']"
제한,"['fear', '0.484']"
몰락,"['fear', '0.500']"
대주,"['fear', '0.500']"
높이 솟은,"['fear', '0.500']"
얼룩,"['fear', '0.500']"
불안정,"['fear', '0.484']"
금지 된,"['fear', '0.500']"
막다,"['fear', '0.125']"
경색,"['fear', '0.500']"
snowmageddon,"['fear', '0.500']"
수렵,"['fear', '0.500']"
말벌,"['fear', '0.500']"
낭떠러지,"['fear', '0.500']"
열광적 인,"['fear', '0.500']"
비꼬는,"['fear', '0.500']"
미쳐 날뛰는,"['fear', '0.500']"
미리 생각한,"['fear', '0.500']"
편협한,"['fear', '0.500']"
불법,"['fear', '0.500']"
메스,"['fear', '0.500']"
선회,"['fear', '0.500']"
미치게 하다,"['fear', '0.500']"
추악한,"['fear', '0.500']"
망가진,"['fear', '0.500']"
억압,"['fear', '0.500']"
도전,"['fear', '0.281']"
나를 위해기도 해줘,"['fear', '0.500']"
항복,"['fear', '0.500']"
죄가 많은,"['fear', '0.500']"
비애,"['fear', '0.491']"
위증,"['fear', '0.484']"
보다 나쁜,"['fear', '0.484']"
주사기,"['fear', '0.484']"
중상,"['fear', '0.484']"
전사,"['fear', '0.484']"
지키기 어려운,"['fear', '0.484']"
심계항진,"['fear', '0.484']"
지체,"['fear', '0.484']"
속눈썹,"['fear', '0.484']"
꽁무니 빼다,"['fear', '0.484']"
사자,"['fear', '0.484']"
좁은 골짜기,"['fear', '0.484']"
깨진,"['fear', '0.484']"
떨다,"['fear', '0.484']"
쥐,"['fear', '0.484']"
오노,"['fear', '0.484']"
불쾌한,"['fear', '0.273']"
환각,"['fear', '0.484']"
밀렵,"['fear', '0.484']"
불명예,"['fear', '0.484']"
당황,"['fear', '0.312']"
비난하는,"['fear', '0.484']"
구급차,"['fear', '0.484']"
이혼,"['fear', '0.484']"
게걸스러운,"['fear', '0.484']"
어지러운,"['fear', '0.484']"
병원,"['fear', '0.484']"
풍토병,"['fear', '0.484']"
편견을 가진,"['fear', '0.484']"
검음,"['fear', '0.484']"
갑옷,"['fear', '0.484']"
걱정하는,"['fear', '0.484']"
기소,"['fear', '0.484']"
미움,"['fear', '0.484']"
이상한,"['fear', '0.484']"
영구차,"['fear', '0.484']"
강요,"['fear', '0.484']"
검사,"['fear', '0.483']"
있어야 할 곳에 없는,"['fear', '0.474']"
절망적 인,"['fear', '0.474']"
어둡게 하다,"['fear', '0.471']"
남풍,"['fear', '0.470']"
악의,"['fear', '0.469']"
프렛,"['fear', '0.469']"
열,"['fear', '0.469']"
위법,"['fear', '0.469']"
고발 당한,"['fear', '0.469']"
흠잡다,"['fear', '0.469']"
스크래피,"['fear', '0.469']"
입 부분,"['fear', '0.469']"
우울한,"['fear', '0.469']"
기갑 된,"['fear', '0.469']"
여파,"['fear', '0.469']"
절벽,"['fear', '0.469']"
제도,"['fear', '0.469']"
고장,"['fear', '0.469']"
훈계,"['fear', '0.469']"
배제하다,"['fear', '0.469']"
취소,"['fear', '0.469']"
미신,"['fear', '0.469']"
압도당한,"['fear', '0.469']"
사신 숭배,"['fear', '0.469']"
소행성,"['fear', '0.469']"
치통,"['fear', '0.469']"
동거인,"['fear', '0.469']"
분해,"['fear', '0.469']"
가라 앉는,"['fear', '0.469']"
관입하는,"['fear', '0.469']"
영혼이없는,"['fear', '0.469']"
부정,"['fear', '0.469']"
강한,"['fear', '0.312']"
펄쩍 뛸 만한 놀람,"['fear', '0.469']"
건강에 해로운,"['fear', '0.469']"
창,"['fear', '0.468']"
추잡한,"['fear', '0.466']"
퓨마,"['fear', '0.465']"
열세 번째,"['fear', '0.465']"
흑인 노예,"['fear', '0.464']"
오명,"['fear', '0.455']"
난민,"['fear', '0.455']"
강력하게,"['fear', '0.454']"
패널티,"['fear', '0.453']"
경멸적인,"['fear', '0.453']"
경련,"['fear', '0.453']"
공룡,"['fear', '0.453']"
잠그다,"['fear', '0.266']"
제지하다,"['fear', '0.453']"
소총,"['fear', '0.391']"
보기 싫은,"['fear', '0.453']"
경고하다,"['fear', '0.453']"
저항하는,"['fear', '0.344']"
엄밀,"['fear', '0.453']"
낯선 사람,"['fear', '0.453']"
형벌,"['fear', '0.453']"
더듬다,"['fear', '0.453']"
꾸짖다,"['fear', '0.453']"
유아,"['fear', '0.067']"
사임하다,"['fear', '0.453']"
뇌수종,"['fear', '0.453']"
날카로운,"['fear', '0.453']"
멀리서 짖는 소리,"['fear', '0.453']"
말하기 싫은,"['fear', '0.453']"
비탄,"['fear', '0.422']"
해협,"['fear', '0.453']"
우려,"['fear', '0.453']"
반죽,"['fear', '0.453']"
죄상 인부,"['fear', '0.450']"
긴급한,"['fear', '0.450']"
도보 여행가,"['fear', '0.440']"
스트레스,"['fear', '0.422']"
거대한 짐승,"['fear', '0.439']"
타겟팅,"['fear', '0.438']"
파산하다,"['fear', '0.438']"
어렴풋이 나타나기,"['fear', '0.438']"
법정,"['fear', '0.284']"
와해,"['fear', '0.438']"
상실,"['fear', '0.438']"
탈구 된,"['fear', '0.438']"
허약,"['fear', '0.438']"
불 침투성,"['fear', '0.438']"
비틀 거리다,"['fear', '0.438']"
실향민,"['fear', '0.438']"
숨기는,"['fear', '0.438']"
사생아의,"['fear', '0.438']"
준비가되지 않은,"['fear', '0.438']"
부족,"['fear', '0.344']"
질겁,"['fear', '0.438']"
메이스,"['fear', '0.438']"
내쫓다,"['fear', '0.438']"
박탈 된,"['fear', '0.438']"
치과 의사,"['fear', '0.312']"
화해 할 수없는,"['fear', '0.438']"
굽히지 않는,"['fear', '0.438']"
류머티즘,"['fear', '0.438']"
우연한,"['fear', '0.438']"
빠뜨리는,"['fear', '0.438']"
위축,"['fear', '0.438']"
ASP,"['fear', '0.438']"
비뚤어진,"['fear', '0.438']"
음모,"['fear', '0.188']"
헐떡 거림,"['fear', '0.438']"
집행 유예,"['fear', '0.438']"
고발인,"['fear', '0.438']"
모욕하는,"['fear', '0.435']"
정지,"['fear', '0.250']"
적군,"['fear', '0.435']"
반발,"['fear', '0.431']"
섬광,"['fear', '0.430']"
징벌 적,"['fear', '0.425']"
더러운,"['fear', '0.425']"
말뚝,"['fear', '0.423']"
대소동,"['fear', '0.423']"
최후 통첩,"['fear', '0.422']"
말이 없는,"['fear', '0.422']"
총검,"['fear', '0.422']"
현탁,"['fear', '0.422']"
짐이 많은,"['fear', '0.422']"
탁 치는,"['fear', '0.422']"
코요테,"['fear', '0.422']"
반체제의,"['fear', '0.422']"
수두,"['fear', '0.422']"
황야,"['fear', '0.422']"
미혹,"['fear', '0.422']"
뱃머리,"['fear', '0.422']"
이교도,"['fear', '0.422']"
배회,"['fear', '0.422']"
트롤,"['fear', '0.422']"
악명 높은,"['fear', '0.422']"
사라지다,"['fear', '0.422']"
내리 누르다,"['fear', '0.422']"
부 자연스러운,"['fear', '0.422']"
빼앗긴,"['fear', '0.422']"
훔치다,"['fear', '0.422']"
기절,"['fear', '0.422']"
외계인,"['fear', '0.422']"
외설적 인,"['fear', '0.422']"
히드라,"['fear', '0.422']"
역경,"['fear', '0.418']"
부적당,"['fear', '0.417']"
문외한,"['fear', '0.413']"
추함,"['fear', '0.410']"
무자비한 사람,"['fear', '0.410']"
부도덕 한,"['fear', '0.410']"
흉터,"['fear', '0.406']"
스트레스가 많은,"['fear', '0.406']"
진한 럼주,"['fear', '0.406']"
조심성 있는,"['fear', '0.281']"
싫음,"['fear', '0.406']"
강조하는,"['fear', '0.406']"
추방하다,"['fear', '0.406']"
구역질,"['fear', '0.406']"
절제술,"['fear', '0.406']"
정전,"['fear', '0.156']"
허용되지 않는,"['fear', '0.406']"
부실,"['fear', '0.406']"
해임,"['fear', '0.406']"
전능,"['fear', '0.406']"
소유,"['fear', '0.406']"
눈물 어린,"['fear', '0.406']"
무질서,"['fear', '0.406']"
돌풍,"['fear', '0.266']"
우성,"['fear', '0.406']"
장애인,"['fear', '0.406']"
무인 항공기,"['fear', '0.406']"
무모한,"['fear', '0.344']"
탈출,"['fear', '0.406']"
고민하는,"['fear', '0.406']"
갈고리 발톱,"['fear', '0.406']"
들것,"['fear', '0.406']"
참회,"['fear', '0.406']"
약하게,"['fear', '0.406']"
흐느낌,"['fear', '0.406']"
빈민가,"['fear', '0.406']"
사회주의,"['fear', '0.405']"
인성,"['fear', '0.400']"
저버림,"['fear', '0.398']"
부재,"['fear', '0.396']"
신음 소리,"['fear', '0.394']"
개혁 운동,"['fear', '0.392']"
라돈,"['fear', '0.391']"
잃다,"['fear', '0.391']"
모호한,"['fear', '0.391']"
한가한,"['fear', '0.391']"
받지 않다,"['fear', '0.391']"
자극,"['fear', '0.391']"
자낙스,"['fear', '0.391']"
억 눌린,"['fear', '0.391']"
허수아비,"['fear', '0.391']"
은폐,"['fear', '0.391']"
차별,"['fear', '0.391']"
진단,"['fear', '0.391']"
올무,"['fear', '0.391']"
분리,"['fear', '0.391']"
명백한,"['fear', '0.391']"
긴급,"['fear', '0.391']"
불안,"['fear', '0.391']"
하강,"['fear', '0.391']"
피하는,"['fear', '0.391']"
낭종,"['fear', '0.391']"
꿀꺽 꿀꺽 마심,"['fear', '0.391']"
순서,"['fear', '0.391']"
제출,"['fear', '0.281']"
경화 된,"['fear', '0.391']"
논박,"['fear', '0.391']"
싫은,"['fear', '0.391']"
쪼개다,"['fear', '0.391']"
의혹,"['fear', '0.391']"
가난,"['fear', '0.391']"
지불 불능,"['fear', '0.391']"
지적인,"['fear', '0.391']"
신탁의,"['fear', '0.391']"
스파즈,"['fear', '0.391']"
유황,"['fear', '0.391']"
진동,"['fear', '0.388']"
오크,"['fear', '0.388']"
안된다고 하다,"['fear', '0.380']"
청각 장애인,"['fear', '0.378']"
항변,"['fear', '0.377']"
인출,"['fear', '0.377']"
압력,"['fear', '0.375']"
슬퍼하다,"['fear', '0.375']"
프리깃,"['fear', '0.375']"
둥유,"['fear', '0.375']"
메스꺼움,"['fear', '0.375']"
칸,"['fear', '0.375']"
폭로,"['fear', '0.375']"
OCD,"['fear', '0.375']"
몰래 움직이는,"['fear', '0.375']"
파산자,"['fear', '0.375']"
해산,"['fear', '0.375']"
치과,"['fear', '0.375']"
명령,"['fear', '0.375']"
벙커,"['fear', '0.375']"
antsy,"['fear', '0.375']"
차이,"['fear', '0.375']"
탈출 한,"['fear', '0.375']"
소용돌이,"['fear', '0.375']"
심문하다,"['fear', '0.375']"
심리적 인,"['fear', '0.375']"
채무자,"['fear', '0.375']"
오인,"['fear', '0.375']"
군,"['fear', '0.375']"
의심스러운,"['fear', '0.375']"
메뚜기,"['fear', '0.375']"
나쁜,"['fear', '0.375']"
추위,"['fear', '0.375']"
조롱,"['fear', '0.375']"
오비,"['fear', '0.375']"
독감,"['fear', '0.375']"
바리케이드,"['fear', '0.375']"
키메라,"['fear', '0.375']"
술탄,"['fear', '0.375']"
방수제,"['fear', '0.373']"
알 수 없는,"['fear', '0.369']"
질투,"['fear', '0.365']"
얼굴,"['fear', '0.359']"
깜짝 놀람,"['fear', '0.359']"
반역자,"['fear', '0.359']"
정복,"['fear', '0.359']"
슬퍼하는,"['fear', '0.359']"
우려하는,"['fear', '0.359']"
의무,"['fear', '0.359']"
onedge,"['fear', '0.359']"
되풀이하다,"['fear', '0.359']"
황달,"['fear', '0.359']"
종파적 인,"['fear', '0.359']"
사막,"['fear', '0.359']"
똥개,"['fear', '0.359']"
어려운,"['fear', '0.312']"
정량,"['fear', '0.359']"
다트,"['fear', '0.359']"
스파이크,"['fear', '0.359']"
소심한,"['fear', '0.359']"
낭비,"['fear', '0.359']"
밑바닥 없는,"['fear', '0.359']"
경고 한,"['fear', '0.359']"
신교도,"['fear', '0.359']"
경멸,"['fear', '0.359']"
시험,"['fear', '0.204']"
감가 상각,"['fear', '0.359']"
변칙,"['fear', '0.359']"
거부하다,"['fear', '0.359']"
염세주의,"['fear', '0.359']"
혁명,"['fear', '0.359']"
버크,"['fear', '0.359']"
주의의,"['fear', '0.359']"
두통,"['fear', '0.359']"
파산,"['fear', '0.359']"
정부,"['fear', '0.359']"
흥역,"['fear', '0.359']"
쇠약 해지는,"['fear', '0.358']"
문제 삼다,"['fear', '0.354']"
파수꾼,"['fear', '0.354']"
불리한,"['fear', '0.352']"
변호사,"['fear', '0.188']"
명예 훼손죄,"['fear', '0.348']"
단축,"['fear', '0.345']"
임박한,"['fear', '0.345']"
정당하지 못한,"['fear', '0.344']"
종소리,"['fear', '0.344']"
논쟁의,"['fear', '0.344']"
반대하는,"['fear', '0.344']"
부끄러움,"['fear', '0.344']"
기피,"['fear', '0.297']"
징계,"['fear', '0.344']"
무시하다,"['fear', '0.344']"
얕보다,"['fear', '0.344']"
열광,"['fear', '0.344']"
곰 같은,"['fear', '0.344']"
아편,"['fear', '0.344']"
슬픔,"['fear', '0.344']"
mri,"['fear', '0.344']"
스음,"['fear', '0.344']"
외로움,"['fear', '0.344']"
곡구,"['fear', '0.344']"
금기,"['fear', '0.344']"
장애물,"['fear', '0.344']"
시작하다,"['fear', '0.344']"
아아아아아,"['fear', '0.344']"
평결,"['fear', '0.344']"
노예 같은,"['fear', '0.344']"
주저,"['fear', '0.344']"
피하다,"['fear', '0.344']"
경기 후퇴,"['fear', '0.344']"
뱀장어,"['fear', '0.344']"
커터,"['fear', '0.344']"
심령,"['fear', '0.344']"
낙하산,"['fear', '0.344']"
무례한,"['fear', '0.343']"
지골,"['fear', '0.342']"
생물,"['fear', '0.340']"
저당,"['fear', '0.331']"
수수께끼 같은,"['fear', '0.329']"
주의,"['fear', '0.328']"
경찰,"['fear', '0.328']"
정강이,"['fear', '0.328']"
탐탁지 않은,"['fear', '0.328']"
일시 휴업,"['fear', '0.328']"
제방,"['fear', '0.328']"
부하,"['fear', '0.328']"
게임 시간,"['fear', '0.328']"
풀다,"['fear', '0.328']"
흑수병,"['fear', '0.328']"
재난,"['fear', '0.328']"
직조기,"['fear', '0.328']"
최고,"['fear', '0.328']"
찌그러 뜨리다,"['fear', '0.328']"
두드러기,"['fear', '0.328']"
검투사,"['fear', '0.328']"
감각,"['fear', '0.328']"
방해물,"['fear', '0.328']"
떠돌아,"['fear', '0.328']"
피고,"['fear', '0.328']"
전초,"['fear', '0.328']"
무의미한,"['fear', '0.328']"
잘못,"['fear', '0.328']"
도깨비,"['fear', '0.328']"
이상한 사람,"['fear', '0.328']"
미묘한,"['fear', '0.328']"
부족한,"['fear', '0.327']"
변하기 쉬운,"['fear', '0.327']"
반사회적인,"['fear', '0.324']"
자지 않고 지키는,"['fear', '0.319']"
사회 주의자,"['fear', '0.318']"
고삐,"['fear', '0.318']"
비관론자,"['fear', '0.317']"
페이싱,"['fear', '0.316']"
상대,"['fear', '0.312']"
불연속,"['fear', '0.312']"
공모하다,"['fear', '0.312']"
속임수,"['fear', '0.312']"
사로 잡히다,"['fear', '0.312']"
선풍,"['fear', '0.312']"
예기치 않은,"['fear', '0.312']"
벼락 공부,"['fear', '0.312']"
공모,"['fear', '0.312']"
포구,"['fear', '0.312']"
마름병,"['fear', '0.312']"
외국인,"['fear', '0.312']"
청구 할 수있는,"['fear', '0.312']"
완하제,"['fear', '0.312']"
객관적인,"['fear', '0.312']"
치료사,"['fear', '0.312']"
마감 시간,"['fear', '0.312']"
소송하다,"['fear', '0.312']"
지하실,"['fear', '0.312']"
발륨,"['fear', '0.312']"
불친절한,"['fear', '0.312']"
병기,"['fear', '0.312']"
위핌,"['fear', '0.312']"
지나친 생각,"['fear', '0.309']"
의심,"['fear', '0.250']"
진지함,"['fear', '0.305']"
비이성적 인,"['fear', '0.305']"
삭제,"['fear', '0.303']"
놀리는,"['fear', '0.303']"
면도칼,"['fear', '0.303']"
발한,"['fear', '0.298']"
싫어하는,"['fear', '0.297']"
마술사,"['fear', '0.297']"
웅크리는,"['fear', '0.297']"
경고,"['fear', '0.276']"
끝이없는,"['fear', '0.297']"
판결하다,"['fear', '0.297']"
곤포,"['fear', '0.297']"
인플레이션,"['fear', '0.297']"
거대한,"['fear', '0.203']"
감사,"['fear', '0.297']"
의료,"['fear', '0.297']"
늪,"['fear', '0.250']"
암캐,"['fear', '0.297']"
오도 ​​된,"['fear', '0.297']"
무거운,"['fear', '0.297']"
감가 상각 된,"['fear', '0.297']"
가자미,"['fear', '0.297']"
수축,"['fear', '0.234']"
이겨낼 사람 없는,"['fear', '0.297']"
대시의,"['fear', '0.297']"
숨는 장소,"['fear', '0.297']"
소심,"['fear', '0.297']"
대홍수,"['fear', '0.287']"
그릇된 정보,"['fear', '0.286']"
혐오,"['fear', '0.283']"
유적,"['fear', '0.281']"
낙심시키다,"['fear', '0.281']"
다가오는,"['fear', '0.281']"
나는,"['fear', '0.281']"
잘못된,"['fear', '0.281']"
팽윤,"['fear', '0.281']"
왜소합니까?,"['fear', '0.281']"
감시,"['fear', '0.281']"
아파치,"['fear', '0.281']"
개가 깽깽 우는 소리,"['fear', '0.281']"
탄약통,"['fear', '0.281']"
요새,"['fear', '0.281']"
편견없는,"['fear', '0.281']"
아직 없다,"['fear', '0.281']"
혼동,"['fear', '0.281']"
~을,"['fear', '0.281']"
심한,"['fear', '0.279']"
비준수,"['fear', '0.276']"
비행기,"['fear', '0.274']"
순경,"['fear', '0.273']"
구속을받지 않은,"['fear', '0.271']"
연대,"['fear', '0.266']"
군중,"['fear', '0.266']"
문장,"['fear', '0.266']"
눈가리개,"['fear', '0.266']"
웅크림,"['fear', '0.266']"
벨트,"['fear', '0.266']"
후드가 달린,"['fear', '0.266']"
섬뜩한,"['fear', '0.266']"
컵,"['fear', '0.266']"
좀도둑,"['fear', '0.266']"
망토,"['fear', '0.266']"
소시지,"['fear', '0.266']"
모욕,"['fear', '0.266']"
고백,"['fear', '0.266']"
흠,"['fear', '0.266']"
일대,"['fear', '0.266']"
오디션,"['fear', '0.156']"
잊혀진,"['fear', '0.266']"
조작,"['fear', '0.266']"
높이,"['fear', '0.266']"
상하이,"['fear', '0.266']"
후드,"['fear', '0.266']"
문제,"['fear', '0.266']"
활재,"['fear', '0.266']"
잠 잘 수 없음,"['fear', '0.266']"
곡예사,"['fear', '0.266']"
힘,"['fear', '0.266']"
박차,"['fear', '0.262']"
방어,"['fear', '0.258']"
저당권 설정자,"['fear', '0.258']"
운영,"['fear', '0.250']"
백내장,"['fear', '0.250']"
회개하다,"['fear', '0.250']"
생소한,"['fear', '0.250']"
망상적인,"['fear', '0.250']"
기꺼이 남을 돌봐 주는,"['fear', '0.250']"
추한 노파,"['fear', '0.250']"
지키다,"['fear', '0.250']"
가드,"['fear', '0.250']"
속죄 염소,"['fear', '0.250']"
반응하다,"['fear', '0.250']"
긴급 속보,"['fear', '0.250']"
반칙,"['fear', '0.250']"
노처녀,"['fear', '0.250']"
무관심,"['fear', '0.250']"
침몰 한,"['fear', '0.250']"
피켓,"['fear', '0.250']"
곤충,"['fear', '0.188']"
평가,"['fear', '0.172']"
미리 경고 한,"['fear', '0.250']"
우유부단한,"['fear', '0.250']"
은밀한,"['fear', '0.250']"
접지 된,"['fear', '0.242']"
제일 높은,"['fear', '0.236']"
불평등,"['fear', '0.234']"
다시 휘젓다,"['fear', '0.234']"
발판,"['fear', '0.234']"
불만,"['fear', '0.234']"
가장자리,"['fear', '0.234']"
정신과 의사,"['fear', '0.234']"
오버 드라이브,"['fear', '0.234']"
중재하다,"['fear', '0.234']"
날개,"['fear', '0.234']"
확정 된,"['fear', '0.234']"
대피소,"['fear', '0.234']"
잠 못 이루는,"['fear', '0.234']"
의존,"['fear', '0.234']"
치킨,"['fear', '0.234']"
본능적 인,"['fear', '0.234']"
버저 소리,"['fear', '0.234']"
어려움,"['fear', '0.234']"
벌,"['fear', '0.234']"
불면증,"['fear', '0.234']"
책임,"['fear', '0.234']"
서두르는,"['fear', '0.233']"
늦잠 잤다,"['fear', '0.226']"
태만,"['fear', '0.226']"
고해성의,"['fear', '0.225']"
참을성없는,"['fear', '0.224']"
이민,"['fear', '0.219']"
무게,"['fear', '0.109']"
땀,"['fear', '0.219']"
동요,"['fear', '0.219']"
적은,"['fear', '0.219']"
스릴,"['fear', '0.219']"
지팡이,"['fear', '0.219']"
만약,"['fear', '0.219']"
전술,"['fear', '0.219']"
부채,"['fear', '0.219']"
같지 않은,"['fear', '0.219']"
마지막 순간,"['fear', '0.219']"
밀림,"['fear', '0.219']"
미끼,"['fear', '0.219']"
계시,"['fear', '0.219']"
블루스,"['fear', '0.219']"
지나친,"['fear', '0.218']"
예지,"['fear', '0.217']"
과장된,"['fear', '0.214']"
위망,"['fear', '0.212']"
광대,"['fear', '0.207']"
파동,"['fear', '0.204']"
친밀,"['fear', '0.203']"
휴,"['fear', '0.203']"
메추라기,"['fear', '0.203']"
고개 위로,"['fear', '0.203']"
출생,"['fear', '0.203']"
십자가,"['fear', '0.203']"
도움,"['fear', '0.203']"
이기다,"['fear', '0.203']"
오목 부,"['fear', '0.203']"
수락,"['fear', '0.203']"
용감한,"['fear', '0.200']"
제품,"['fear', '0.198']"
변화,"['fear', '0.198']"
버티다,"['fear', '0.197']"
가능한 빨리,"['fear', '0.191']"
빚지고있는,"['fear', '0.188']"
금언,"['fear', '0.188']"
조심성 있게,"['fear', '0.188']"
마감일,"['fear', '0.188']"
높이다,"['fear', '0.188']"
매듭,"['fear', '0.109']"
규칙,"['fear', '0.188']"
전진,"['fear', '0.188']"
극복하는,"['fear', '0.188']"
고요함,"['fear', '0.188']"
손목 시계,"['fear', '0.188']"
조직되지 않은,"['fear', '0.188']"
꼬마 요정,"['fear', '0.185']"
고독한,"['fear', '0.183']"
미끄러운,"['fear', '0.181']"
회견,"['fear', '0.180']"
모든 사람들,"['fear', '0.178']"
추측,"['fear', '0.176']"
알 필요가있다,"['fear', '0.173']"
경쟁,"['fear', '0.172']"
세틀러,"['fear', '0.172']"
막대,"['fear', '0.172']"
검문소,"['fear', '0.172']"
규정하는,"['fear', '0.172']"
예배,"['fear', '0.172']"
껍질,"['fear', '0.172']"
준비 됐어,"['fear', '0.172']"
불확실한,"['fear', '0.172']"
자작 나무,"['fear', '0.172']"
놀람,"['fear', '0.172']"
왕겨,"['fear', '0.172']"
침착,"['fear', '0.172']"
면접관,"['fear', '0.172']"
적게,"['fear', '0.167']"
코이,"['fear', '0.162']"
아이리스,"['fear', '0.160']"
합법화 된,"['fear', '0.156']"
친밀하게,"['fear', '0.156']"
카운트 다운,"['fear', '0.156']"
듣기,"['fear', '0.156']"
기초,"['fear', '0.156']"
약물 치료,"['fear', '0.156']"
퇴직,"['fear', '0.156']"
용기 있는,"['fear', '0.154']"
지나친 사람,"['fear', '0.153']"
역 추적하다,"['fear', '0.151']"
새벽,"['fear', '0.150']"
검열,"['fear', '0.149']"
집행관,"['fear', '0.147']"
강의 계획서,"['fear', '0.147']"
신사,"['fear', '0.141']"
풍자 만화,"['fear', '0.141']"
합리성,"['fear', '0.141']"
후미,"['fear', '0.141']"
새로 온 사람,"['fear', '0.141']"
궁극,"['fear', '0.141']"
상상력,"['fear', '0.141']"
효력,"['fear', '0.141']"
기다리는,"['fear', '0.141']"
지연,"['fear', '0.141']"
수줍은,"['fear', '0.140']"
벌써부터,"['fear', '0.140']"
징후,"['fear', '0.133']"
일으키다,"['fear', '0.132']"
너구리,"['fear', '0.127']"
시골뜨기,"['fear', '0.125']"
아아아,"['fear', '0.125']"
매,"['fear', '0.125']"
선거 운동,"['fear', '0.125']"
아내,"['fear', '0.125']"
시험하다,"['fear', '0.125']"
얻다,"['fear', '0.125']"
요정,"['fear', '0.125']"
수영,"['fear', '0.125']"
경기 날,"['fear', '0.125']"
처짐,"['fear', '0.123']"
조제,"['fear', '0.123']"
경관,"['fear', '0.121']"
레이스,"['fear', '0.111']"
꿈꾸는,"['fear', '0.111']"
신성한 것,"['fear', '0.109']"
빌다,"['fear', '0.109']"
...을 넣다,"['fear', '0.109']"
자신,"['fear', '0.109']"
평판,"['fear', '0.109']"
숙제,"['fear', '0.109']"
목적지,"['fear', '0.109']"
빅 데이,"['fear', '0.109']"
날씬한,"['fear', '0.100']"
결정되지 않은,"['fear', '0.098']"
교감 신경,"['fear', '0.097']"
하나님,"['fear', '0.094']"
성적,"['fear', '0.094']"
충성스러운,"['fear', '0.094']"
평정,"['fear', '0.094']"
턱,"['fear', '0.094']"
자신감,"['fear', '0.094']"
참사관,"['fear', '0.094']"
헬멧,"['fear', '0.094']"
케이스,"['fear', '0.094']"
위치하고 있다,"['fear', '0.094']"
북동,"['fear', '0.088']"
측은히 여김,"['fear', '0.078']"
양육,"['fear', '0.078']"
눈금,"['fear', '0.078']"
등급이 매겨진,"['fear', '0.075']"
침묵,"['fear', '0.070']"
사복,"['fear', '0.062']"
소울 메이트,"['fear', '0.062']"
일반 민간인,"['fear', '0.062']"
흐림,"['fear', '0.062']"
축제,"['fear', '0.062']"
현금,"['fear', '0.062']"
여행,"['fear', '0.062']"
지침,"['fear', '0.062']"
청소년,"['fear', '0.062']"
오페라,"['fear', '0.057']"
동의어,"['fear', '0.056']"
기도하다,"['fear', '0.047']"
정직한,"['fear', '0.047']"
지성,"['fear', '0.038']"
로맨스,"['fear', '0.031']"
